# date_time: 2026-03-24T17:41:15
# com_port: COM3
# baud_rate: 115200
# profile_name: staircase_characterization
# setpoint_sequence: 5,0,-5,-10,-15,-18
# tolerance_band_c: 0.5
# stabilization_dwell_s: 300
# post_stabilization_dwell_s: 300
# max_hold_s: 900
# continue_on_timeout: 1
# slope_limit_c_per_min: 0.05
# slope_window_s: 60
# pid_kp: 2.5633
# pid_ki: 0.039
# pid_kd: 0.4034
# firmware_version: cryostage_characterization_v3_rtdfault_ignored
#
row_type,host_time_iso,panel_t_s,ts,event,event_detail,set,pid,armed,T_cal,T_raw,power,T3,T7,T12,Tamb,char_en,char_state,char_step,char_total,char_target,char_time_s,stable,timeout,char_in_band,char_filtered,char_slope,fault,fault_msg,fw
event,2026-03-24T17:41:15,47.893,48311.0,recording_started,,-15.0,0.0,1.0,8.9422,8.9586,0.0,11.781,13.2974,15.3577,19.7578,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9383,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:15,48.003,48421.0,,,-15.0,0.0,1.0,8.9405,8.9281,0.0,11.7883,13.2314,15.2982,19.8359,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9373,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:15,48.113,48531.0,,,-15.0,0.0,1.0,8.9427,8.9586,0.0,11.781,13.2534,15.328,19.8594,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9394,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.223,48641.0,,,-15.0,0.0,1.0,8.9409,8.9281,0.0,11.7664,13.1507,15.3726,19.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9383,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.333,48751.0,,,-15.0,0.0,1.0,8.943,8.9586,0.0,11.7445,13.1874,15.2982,19.8359,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9403,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.443,48861.0,,,-15.0,0.0,1.0,8.9449,8.9586,0.0,11.708,13.3267,15.2685,19.7813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9422,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.553,48971.0,,,-15.0,0.0,1.0,8.9465,8.9281,0.0,11.7372,13.29,15.328,19.7813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9408,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.663,49081.0,,,-15.0,0.0,1.0,8.9443,8.8978,0.0,11.8102,13.2974,15.2982,19.8203,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9365,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.773,49191.0,,,-15.0,0.0,1.0,8.9424,8.9281,0.0,11.8248,13.268,15.3577,19.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9356,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.883,49301.0,,,-15.0,0.0,1.0,8.937,8.8978,0.0,11.8467,13.1727,15.3354,19.8438,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9318,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,48.993,49411.0,,,-15.0,0.0,1.0,8.936,8.9281,0.0,11.8248,13.1727,15.2089,19.8047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9315,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:16,49.103,49521.0,,,-15.0,0.0,1.0,8.935,8.9281,0.0,11.7883,13.246,15.2982,19.8594,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9311,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.213,49631.0,,,-15.0,0.0,1.0,8.9342,8.9586,0.0,11.7445,13.2754,15.1866,19.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9339,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.323,49741.0,,,-15.0,0.0,1.0,8.9335,8.8978,0.0,11.781,13.268,15.2313,19.8438,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9303,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.433,49851.0,,,-15.0,0.0,1.0,8.9365,8.9586,0.0,11.7664,13.246,15.2759,19.9609,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9331,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.543,49961.0,,,-15.0,0.0,1.0,8.9318,8.8978,0.0,11.7518,13.2534,15.3577,19.875,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9296,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.653,50071.0,,,-15.0,0.0,1.0,8.935,8.9889,0.0,11.7372,13.312,15.2982,19.875,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9355,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.763,50181.0,,,-15.0,0.0,1.0,8.9306,8.8369,0.0,11.7664,13.2754,15.3354,19.8203,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9256,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.873,50291.0,,,-15.0,0.0,1.0,8.9266,8.8978,0.0,11.7664,13.2167,15.2908,19.8438,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9229,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,49.983,50401.0,,,-15.0,0.0,1.0,8.9232,8.9281,0.0,11.7664,13.2094,15.3131,19.9375,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9234,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,50.093,50511.0,,,-15.0,0.0,1.0,8.9238,8.9281,0.0,11.7664,13.2167,15.2908,19.8438,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9238,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:17,50.203,50621.0,,,-15.0,0.0,1.0,8.9243,8.9586,0.0,11.7445,13.2534,15.2461,19.8906,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9273,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,50.313,50731.0,,,-15.0,0.0,1.0,8.9247,8.9281,0.0,11.708,13.2167,15.3577,19.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9274,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,50.423,50841.0,,,-15.0,0.0,1.0,8.9288,8.9586,0.0,11.781,13.1507,15.328,19.7813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9305,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,50.533,50951.0,,,-15.0,0.0,1.0,8.9287,8.9281,0.0,11.7445,13.1727,15.2759,19.8594,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9303,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,50.643,51061.0,,,-15.0,0.0,1.0,8.9286,8.9281,0.0,11.8102,13.1874,15.2759,19.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9301,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,50.753,51171.0,,,-15.0,0.0,1.0,8.9286,8.9281,0.0,11.7372,13.246,15.2908,19.9141,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9299,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,50.863,51281.0,,,-15.0,0.0,1.0,8.9285,8.9586,0.0,11.6861,13.2754,15.2313,19.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9327,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,50.973,51391.0,,,-15.0,0.0,1.0,8.9285,8.9281,0.0,11.708,13.1947,15.2313,19.8203,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9323,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,51.083,51501.0,,,-15.0,0.0,1.0,8.9284,8.9281,0.0,11.6642,13.1947,15.2164,19.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9319,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:18,51.193,51611.0,,,-15.0,0.0,1.0,8.9284,8.8978,0.0,11.6788,13.2094,15.2313,19.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9284,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,51.303,51721.0,,,-15.0,0.0,1.0,8.9283,8.9586,0.0,11.7007,13.2094,15.2908,19.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9315,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,51.413,51831.0,,,-15.0,0.0,1.0,8.9283,8.9281,0.0,11.6861,13.1874,15.2759,19.8359,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9311,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,51.523,51941.0,,,-15.0,0.0,1.0,8.9319,8.9586,0.0,11.708,13.2167,15.2982,19.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9339,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,51.633,52051.0,,,-15.0,0.0,1.0,8.9315,8.8978,0.0,11.7445,13.2167,15.2536,19.8047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9303,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,51.743,52161.0,,,-15.0,0.0,1.0,8.9311,8.9281,0.0,11.7664,13.0921,15.2089,19.8359,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.93,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,51.853,52271.0,,,-15.0,0.0,1.0,8.9307,8.9281,0.0,11.7226,13.1068,15.3354,19.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9298,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,51.963,52381.0,,,-15.0,0.0,1.0,8.9304,8.8674,0.0,11.7445,13.1874,15.2313,19.8906,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9236,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,52.073,52491.0,,,-15.0,0.0,1.0,8.9228,8.8674,0.0,11.7883,13.1361,15.3354,19.8359,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.918,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:19,52.183,52601.0,,,-15.0,0.0,1.0,8.9162,8.9586,0.0,11.708,13.2094,15.2908,19.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.922,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,52.293,52711.0,,,-15.0,0.0,1.0,8.9176,8.9281,0.0,11.708,13.2534,15.3131,19.875,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9227,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,52.403,52821.0,,,-15.0,0.0,1.0,8.9225,8.9586,0.0,11.7226,13.1361,15.3131,19.8047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9262,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,52.513,52931.0,,,-15.0,0.0,1.0,8.9232,8.8978,0.0,11.6861,13.1874,15.3354,19.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9234,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,52.623,53041.0,,,-15.0,0.0,1.0,8.9202,8.8978,0.0,11.708,13.1507,15.2908,19.8047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9208,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,52.733,53151.0,,,-15.0,0.0,1.0,8.9175,8.9281,0.0,11.7664,13.1654,15.2908,19.7813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9216,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,52.843,53261.0,,,-15.0,0.0,1.0,8.9151,8.8978,0.0,11.7226,13.1874,15.2982,19.7344,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9192,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,52.953,53371.0,,,-15.0,0.0,1.0,8.913,8.8978,0.0,11.7664,13.2534,15.2536,19.7344,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.917,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,53.063,53481.0,,,-15.0,0.0,1.0,8.9112,8.9281,0.0,11.7226,13.1507,15.1717,19.7188,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9181,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:20,53.173,53591.0,,,-15.0,0.0,1.0,8.9132,8.9889,0.0,11.7007,13.2314,15.2536,19.7813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9252,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:21,53.283,53701.0,,,-15.0,0.0,1.0,8.9223,8.9889,0.0,11.708,13.0921,15.2461,19.8203,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9316,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:21,53.393,53811.0,,,-15.0,0.0,1.0,8.9303,8.8978,0.0,11.6788,13.0848,15.2759,19.8359,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9282,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:21,53.503,53921.0,,,-15.0,0.0,1.0,8.9264,8.8369,0.0,11.6861,13.1287,15.2164,19.8594,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9191,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:21,53.613,54031.0,,,-15.0,0.0,1.0,8.923,8.9281,0.0,11.6642,13.1727,15.2089,19.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.92,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T17:41:21,53.723,54141.0,,,-15.0,0.0,1.0,8.9199,8.8978,0.0,11.7226,13.0921,15.2164,19.7813,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9178,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
