# date_time: 2026-03-24T18:17:53
# com_port: COM3
# baud_rate: 115200
# profile_name: staircase_characterization
# setpoint_sequence: 5,0,-5,-10,-15,-18
# tolerance_band_c: 0.5
# stabilization_dwell_s: 300
# post_stabilization_dwell_s: 300
# max_hold_s: 900
# continue_on_timeout: 1
# slope_limit_c_per_min: 0.05
# slope_window_s: 60
# pid_kp: 2.5633
# pid_ki: 0.039
# pid_kd: 0.4034
# firmware_version: cryostage_characterization_v3_rtdfault_ignored
#
row_type,host_time_iso,panel_t_s,ts,event,event_detail,set,pid,armed,T_cal,T_raw,power,T3,T7,T12,Tamb,char_en,char_state,char_step,char_total,char_target,char_time_s,stable,timeout,char_in_band,char_filtered,char_slope,fault,fault_msg,fw
event,2026-03-24T18:17:53,54.641,55059.0,recording_started,,-15.0,0.0,0.0,9.0181,9.05,0.0,11.3648,12.8502,14.8816,20.2031,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0208,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:53,54.751,55169.0,,,-15.0,0.0,0.0,9.022,9.05,0.0,11.4086,12.8721,14.8147,20.1328,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0237,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:53,54.861,55279.0,,,-15.0,0.0,0.0,9.0253,9.05,0.0,11.4232,12.8502,14.8221,20.1094,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0264,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:53,54.971,55389.0,,,-15.0,0.0,0.0,9.0283,9.0803,0.0,11.4232,12.8355,14.9634,20.1016,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0317,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:53,55.081,55499.0,,,-15.0,0.0,0.0,9.0345,9.0803,0.0,11.4086,12.9235,14.9783,20.0625,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0366,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:54,55.191,55609.0,,,-15.0,0.0,0.0,9.04,9.05,0.0,11.3867,12.8868,14.9411,20.1953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0379,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:54,55.301,55719.0,,,-15.0,0.0,0.0,9.0412,9.0194,0.0,11.3721,12.8648,15.023,20.2422,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0361,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:54,55.411,55829.0,,,-15.0,0.0,0.0,9.0386,8.9586,0.0,11.3648,12.8355,14.9411,20.3281,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0283,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:54,55.521,55939.0,,,-15.0,0.0,0.0,9.0326,8.9889,0.0,11.4086,12.8355,14.9262,20.2578,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0244,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-24T18:17:54,55.631,56049.0,,,-15.0,0.0,0.0,9.0274,9.0194,0.0,11.4232,12.8502,14.9262,20.3672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0239,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
