# date_time: 2026-03-25T17:12:51
# com_port: COM3
# baud_rate: 115200
# profile_name: staircase_characterization
# setpoint_sequence: 5,0,-5,-10,-15,-18
# tolerance_band_c: 0.5
# stabilization_dwell_s: 300
# post_stabilization_dwell_s: 300
# max_hold_s: 900
# continue_on_timeout: 1
# slope_limit_c_per_min: 0.05
# slope_window_s: 60
# pid_kp: 2.5633
# pid_ki: 0.039
# pid_kd: 0.4034
# firmware_version: cryostage_characterization_v3_rtdfault_ignored
#
row_type,host_time_iso,panel_t_s,ts,event,event_detail,set,pid,armed,T_cal,T_raw,power,T3,T7,T12,Tamb,char_en,char_state,char_step,char_total,char_target,char_time_s,stable,timeout,char_in_band,char_filtered,char_slope,fault,fault_msg,fw
event,2026-03-25T17:12:51,29.132,3693093.0,recording_started,,-20.0,0.0,0.0,9.1487,9.1106,0.0,25.8049,25.8268,25.8027,25.5938,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1512,0.01621,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:51,29.242,3693203.0,,,-20.0,0.0,0.0,9.1478,9.1411,0.0,25.783,25.8268,25.7878,25.6094,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1502,0.01621,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:51,29.352,3693313.0,,,-20.0,0.0,0.0,9.147,9.1411,0.0,25.7757,25.7975,25.7804,25.7031,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1493,0.01621,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:51,29.462,3693423.0,,,-20.0,0.0,0.0,9.1463,9.1715,0.0,25.8195,25.7902,25.7804,25.5938,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1515,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:51,29.572,3693533.0,,,-20.0,0.0,0.0,9.1493,9.1715,0.0,25.7757,25.9441,25.7432,25.6719,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1535,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:52,29.682,3693643.0,,,-20.0,0.0,0.0,9.152,9.1715,0.0,25.8049,25.9002,25.8325,25.7266,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1553,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:52,29.792,3693753.0,,,-20.0,0.0,0.0,9.1543,9.1106,0.0,25.8487,25.8708,25.7878,25.6094,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1508,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:52,29.902,3693863.0,,,-20.0,0.0,0.0,9.1564,9.1715,0.0,25.8049,25.8488,25.8697,25.6406,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1529,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:52,30.012,3693973.0,,,-20.0,0.0,0.0,9.1582,9.1715,0.0,25.7465,25.8782,25.8027,25.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1548,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:52,30.122,3694083.0,,,-20.0,0.0,0.0,9.1598,9.1715,0.0,25.7465,25.8488,25.7878,25.6563,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1564,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:52,30.232,3694193.0,,,-20.0,0.0,0.0,9.1612,9.1715,0.0,25.7757,25.8562,25.7804,25.5938,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1579,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:52,30.342,3694303.0,,,-20.0,0.0,0.0,9.1624,9.1106,0.0,25.7465,25.8342,25.7655,25.6094,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1532,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:53,30.452,3694413.0,,,-20.0,0.0,0.0,9.1635,9.1715,0.0,25.8195,25.8708,25.7581,25.6094,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.155,0.00044,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:53,30.562,3694523.0,,,-20.0,0.0,0.0,9.1645,9.1715,0.0,25.8414,25.8562,25.7358,25.6094,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1567,0.00934,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T17:12:53,30.672,3694633.0,,,-20.0,0.0,0.0,9.1653,9.1715,0.0,25.8414,25.9588,25.8102,25.6563,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1581,0.00934,0.0,none,cryostage_characterization_v3_rtdfault_ignored
