# date_time: 2026-03-25T16:11:42
# com_port: COM3
# baud_rate: 115200
# profile_name: staircase_characterization
# setpoint_sequence: 5,0,-5,-10,-15,-18
# tolerance_band_c: 0.5
# stabilization_dwell_s: 300
# post_stabilization_dwell_s: 300
# max_hold_s: 900
# continue_on_timeout: 1
# slope_limit_c_per_min: 0.05
# slope_window_s: 60
# pid_kp: 2.5633
# pid_ki: 0.039
# pid_kd: 0.4034
# firmware_version: cryostage_characterization_v3_rtdfault_ignored
#
row_type,host_time_iso,panel_t_s,ts,event,event_detail,set,pid,armed,T_cal,T_raw,power,T3,T7,T12,Tamb,char_en,char_state,char_step,char_total,char_target,char_time_s,stable,timeout,char_in_band,char_filtered,char_slope,fault,fault_msg,fw
event,2026-03-25T16:11:42,28.132,28550.0,recording_started,,-20.0,0.0,0.0,9.0015,8.9586,0.0,24.6515,24.7345,24.6868,24.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0019,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:42,28.242,28660.0,,,-20.0,0.0,0.0,9.0,9.05,0.0,24.6661,24.8151,24.7314,24.7109,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0067,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:42,28.352,28770.0,,,-20.0,0.0,0.0,8.995,8.9586,0.0,24.7245,24.7345,24.7612,24.7969,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0019,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,28.462,28880.0,,,-20.0,0.0,0.0,8.9979,9.0194,0.0,24.7683,24.7345,24.8356,24.7422,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0036,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,28.572,28990.0,,,-20.0,0.0,0.0,9.0005,9.05,0.0,24.6661,24.7931,24.791,24.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0083,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,28.682,29100.0,,,-20.0,0.0,0.0,9.0028,8.9586,0.0,24.6734,24.7198,24.7389,24.7344,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0033,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,28.792,29210.0,,,-20.0,0.0,0.0,9.0048,9.0194,0.0,24.7464,24.6978,24.791,24.7422,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0049,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,28.902,29320.0,,,-20.0,0.0,0.0,9.0029,8.9889,0.0,24.688,24.7418,24.7538,24.7188,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0033,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,29.012,29430.0,,,-20.0,0.0,0.0,9.0012,8.9889,0.0,24.7099,24.7564,24.7389,24.6406,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0019,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,29.122,29540.0,,,-20.0,0.0,0.0,8.9997,9.05,0.0,24.7464,24.6978,24.7314,24.6484,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0067,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,29.232,29650.0,,,-20.0,0.0,0.0,9.0021,9.0194,0.0,24.7537,24.8151,24.7166,24.6484,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.008,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:43,29.342,29760.0,,,-20.0,0.0,0.0,9.0042,8.9586,0.0,24.8194,24.7564,24.6868,24.7344,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.003,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,29.452,29870.0,,,-20.0,0.0,0.0,8.9987,8.9586,0.0,24.7245,24.8224,24.7166,24.8047,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9986,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,29.562,29980.0,,,-20.0,0.0,0.0,8.9939,9.0194,0.0,24.7099,24.8151,24.7389,24.7422,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0007,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,29.672,30090.0,,,-20.0,0.0,0.0,8.997,9.0194,0.0,24.7464,24.7345,24.7612,24.6406,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0025,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,29.782,30200.0,,,-20.0,0.0,0.0,8.9997,9.0194,0.0,24.6077,24.7125,24.8207,24.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0042,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,29.892,30310.0,,,-20.0,0.0,0.0,9.002,9.0194,0.0,24.7975,24.6905,24.7761,24.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0058,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,30.002,30420.0,,,-20.0,0.0,0.0,9.0041,8.9586,0.0,24.7975,24.7564,24.6868,24.7734,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.001,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,30.112,30530.0,,,-20.0,0.0,0.0,8.9987,8.9586,0.0,24.7683,24.7711,24.7538,24.6719,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9968,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,30.222,30640.0,,,-20.0,0.0,0.0,8.9939,9.05,0.0,24.7099,24.8444,24.7538,24.7422,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0021,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,30.332,30750.0,,,-20.0,0.0,0.0,8.9969,9.0194,0.0,24.7099,24.7418,24.791,24.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0038,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:44,30.442,30860.0,,,-20.0,0.0,0.0,8.9996,8.9889,0.0,24.7902,24.7345,24.7166,24.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0024,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,30.552,30970.0,,,-20.0,0.0,0.0,8.9983,8.9889,0.0,24.7902,24.7564,24.7984,24.6719,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.001,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,30.662,31080.0,,,-20.0,0.0,0.0,8.9972,8.9889,0.0,24.6953,24.7784,24.7984,24.7188,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9998,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,30.772,31190.0,,,-20.0,0.0,0.0,8.9962,8.9586,0.0,24.6661,24.8224,24.7389,24.7188,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,8.9957,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,30.882,31300.0,,,-20.0,0.0,0.0,8.9953,9.05,0.0,24.7683,24.7125,24.791,24.6484,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0011,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,30.992,31410.0,,,-20.0,0.0,0.0,8.9982,9.0194,0.0,24.7245,24.7564,24.7091,24.6641,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0029,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,31.102,31520.0,,,-20.0,0.0,0.0,9.0008,9.0194,0.0,24.6515,24.8591,24.7761,24.7578,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0046,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,31.212,31630.0,,,-20.0,0.0,0.0,9.003,8.9889,0.0,24.6953,24.8444,24.6942,24.7188,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.003,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,31.322,31740.0,,,-20.0,0.0,0.0,9.005,9.05,0.0,24.688,24.7931,24.6645,24.6953,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0077,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:45,31.432,31850.0,,,-20.0,0.0,0.0,9.0031,8.9889,0.0,24.7099,24.8664,24.6645,24.6719,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0058,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:46,31.542,31960.0,,,-20.0,0.0,0.0,9.0014,8.9889,0.0,24.6661,24.7564,24.8207,24.7578,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0042,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:11:46,31.652,32070.0,,,-20.0,0.0,0.0,8.9999,8.9889,0.0,24.6953,24.7418,24.7761,24.6484,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0026,nan,0.0,none,cryostage_characterization_v3_rtdfault_ignored
