# date_time: 2026-03-25T16:41:56
# com_port: COM3
# baud_rate: 115200
# profile_name: staircase_characterization
# setpoint_sequence: 5,0,-5,-10,-15,-18
# tolerance_band_c: 0.5
# stabilization_dwell_s: 300
# post_stabilization_dwell_s: 300
# max_hold_s: 900
# continue_on_timeout: 1
# slope_limit_c_per_min: 0.05
# slope_window_s: 60
# pid_kp: 2.5633
# pid_ki: 0.039
# pid_kd: 0.4034
# firmware_version: cryostage_characterization_v3_rtdfault_ignored
#
row_type,host_time_iso,panel_t_s,ts,event,event_detail,set,pid,armed,T_cal,T_raw,power,T3,T7,T12,Tamb,char_en,char_state,char_step,char_total,char_target,char_time_s,stable,timeout,char_in_band,char_filtered,char_slope,fault,fault_msg,fw
event,2026-03-25T16:41:56,1822.539,1822957.0,recording_started,,-20.0,0.0,0.0,9.1038,9.1715,0.0,25.1771,25.2697,25.2076,24.8672,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1064,0.04049,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:56,1822.759,1823177.0,,,-20.0,0.0,0.0,9.1046,9.1106,0.0,25.1114,25.2843,25.1852,25.0234,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1127,0.04049,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:57,1822.869,1823287.0,,,-20.0,0.0,0.0,9.0953,9.1106,0.0,25.199,25.1963,25.0513,24.9844,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1025,0.02897,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:57,1823.419,1823837.0,,,-20.0,0.0,0.0,9.0988,9.1106,0.0,25.1698,25.1963,25.0513,24.9609,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1068,0.02897,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:57,1823.639,1824057.0,,,-20.0,0.0,0.0,9.0989,9.0803,0.0,25.1041,25.299,25.096,24.9844,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.102,0.02897,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:58,1823.969,1824387.0,,,-20.0,0.0,0.0,9.0983,9.1411,0.0,25.1041,25.2477,25.0513,25.0078,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1067,0.02154,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:58,1824.189,1824607.0,,,-20.0,0.0,0.0,9.1023,9.1411,0.0,25.1552,25.2697,25.0588,24.9375,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1084,0.02154,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:58,1824.519,1824937.0,,,-20.0,0.0,0.0,9.1041,9.05,0.0,25.2501,25.2403,25.2001,24.9219,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.1084,0.02154,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:58,1824.739,1825157.0,,,-20.0,0.0,0.0,9.0965,9.0803,0.0,25.1552,25.2403,25.1555,25.0703,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0967,0.02154,0.0,none,cryostage_characterization_v3_rtdfault_ignored
telemetry,2026-03-25T16:41:59,1825.069,1825487.0,,,-20.0,0.0,0.0,9.0985,9.1106,0.0,25.1479,25.2257,25.0737,25.0781,0.0,IDLE,0.0,6.0,nan,0.0,0.0,0.0,0.0,9.0977,0.01177,0.0,none,cryostage_characterization_v3_rtdfault_ignored
