t_rec_s,t_s,ts,set,pid,armed,T_cal,power,T3,T7,T12,Tamb,T3_raw,T7_raw,T12_raw,Tamb_raw,f3,f7,f12,famb
0.0,829.853,5465990.0,-10.0,1.0,1.0,-9.8975,70.0,-3.4621,-0.2365,4.511,8.75,-4.8516,-1.3359,4.0156,8.75,0.0,0.0,0.0,0.0
0.10000000000002274,829.953,5466090.0,-10.0,1.0,1.0,-9.9882,69.8,-3.4621,-0.2952,4.5482,8.8359,-4.8516,-1.3984,4.0547,8.8359,0.0,0.0,0.0,0.0
0.20000000000004547,830.053,5466190.0,-10.0,1.0,1.0,-9.8371,70.1,-3.484,-0.2292,4.511,8.8437,-4.875,-1.3281,4.0156,8.8437,0.0,0.0,0.0,0.0
0.3000000000000682,830.153,5466290.0,-10.0,1.0,1.0,-9.5349,70.7,-3.4329,-0.3465,4.4441,8.7812,-4.8203,-1.4531,3.9453,8.7812,0.0,0.0,0.0,0.0
0.40000000000009095,830.253,5466390.0,-10.0,1.0,1.0,-10.1393,69.5,-3.411,-0.3465,4.5333,8.9687,-4.7969,-1.4531,4.0391,8.9687,0.0,0.0,0.0,0.0
0.5,830.353,5466490.0,-10.0,1.0,1.0,-9.9277,69.9,-3.4256,-0.3465,4.4961,9.0469,-4.8125,-1.4531,4.0,9.0469,0.0,0.0,0.0,0.0
0.6000000000000227,830.453,5466590.0,-10.0,1.0,1.0,-9.9277,69.9,-3.4256,-0.3538,4.4143,8.9453,-4.8125,-1.4609,3.9141,8.9453,0.0,0.0,0.0,0.0
0.7000000000000455,830.553,5466690.0,-10.0,1.0,1.0,-9.4442,70.9,-3.5278,-0.3538,4.4217,8.9453,-4.9219,-1.4609,3.9219,8.9453,0.0,0.0,0.0,0.0
0.8000000000000682,830.653,5466790.0,-10.0,1.0,1.0,-9.5046,70.8,-3.4475,-0.3172,4.4961,8.9219,-4.8359,-1.4219,4.0,8.9219,0.0,0.0,0.0,0.0
0.900000000000091,830.753,5466890.0,-10.0,1.0,1.0,-9.9882,69.8,-3.3891,-0.3172,4.5557,8.8984,-4.7734,-1.4219,4.0625,8.8984,0.0,0.0,0.0,0.0
1.0,830.853,5466990.0,-10.0,1.0,1.0,-10.0788,69.6,-3.3745,-0.3758,4.4887,8.8984,-4.7578,-1.4844,3.9922,8.8984,0.0,0.0,0.0,0.0
1.1000000000000227,830.953,5467090.0,-10.0,1.0,1.0,-9.9277,69.9,-3.4256,-0.4125,4.4217,8.8984,-4.8125,-1.5234,3.9219,8.8984,0.0,0.0,0.0,0.0
1.2000000000000455,831.053,5467190.0,-10.0,1.0,1.0,-10.2601,69.3,-3.4329,-0.4051,4.4738,8.8828,-4.8203,-1.5156,3.9766,8.8828,0.0,0.0,0.0,0.0
1.3000000000000682,831.153,5467290.0,-10.0,1.0,1.0,-9.686,70.4,-3.3964,-0.2805,4.5259,8.8828,-4.7812,-1.3828,4.0312,8.8828,0.0,0.0,0.0,0.0
1.400000000000091,831.253,5467390.0,-10.0,1.0,1.0,-9.8371,70.1,-3.4475,-0.3538,4.511,8.8359,-4.8359,-1.4609,4.0156,8.8359,0.0,0.0,0.0,0.0
1.5,831.353,5467490.0,-10.0,1.0,1.0,-10.0486,69.7,-3.484,-0.2365,4.4961,8.9062,-4.875,-1.3359,4.0,8.9062,0.0,0.0,0.0,0.0
1.6000000000000227,831.453,5467590.0,-10.0,1.0,1.0,-9.8069,70.2,-3.3599,-0.2732,4.4441,8.8984,-4.7422,-1.375,3.9453,8.8984,0.0,0.0,0.0,0.0
1.7000000000000455,831.553,5467690.0,-10.0,1.0,1.0,-9.8069,70.2,-3.4329,-0.4125,4.511,8.9062,-4.8203,-1.5234,4.0156,8.9062,0.0,0.0,0.0,0.0
1.8000000000000682,831.653,5467790.0,-10.0,1.0,1.0,-10.1695,69.5,-3.4694,-0.2952,4.511,8.8359,-4.8594,-1.3984,4.0156,8.8359,0.0,0.0,0.0,0.0
1.900000000000091,831.753,5467890.0,-10.0,1.0,1.0,-9.8069,70.2,-3.4256,-0.3098,4.4961,8.7734,-4.8125,-1.4141,4.0,8.7734,0.0,0.0,0.0,0.0
2.0,831.853,5467990.0,-10.0,1.0,1.0,-10.0486,69.7,-3.4621,-0.3538,4.4664,8.7187,-4.8516,-1.4609,3.9687,8.7187,0.0,0.0,0.0,0.0
2.1000000000000227,831.953,5468090.0,-10.0,1.0,1.0,-10.2299,69.3,-3.3964,-0.3905,4.4441,8.7187,-4.7812,-1.5,3.9453,8.7187,0.0,0.0,0.0,0.0
2.2000000000000455,832.053,5468190.0,-10.0,1.0,1.0,-10.1695,69.5,-3.4475,-0.3172,4.4961,8.75,-4.8359,-1.4219,4.0,8.75,0.0,0.0,0.0,0.0
2.300000000000068,832.153,5468290.0,-10.0,1.0,1.0,-10.1393,69.5,-3.4621,-0.3465,4.5482,8.8125,-4.8516,-1.4531,4.0547,8.8125,0.0,0.0,0.0,0.0
2.400000000000091,832.253,5468390.0,-10.0,1.0,1.0,-10.0184,69.8,-3.3964,-0.3098,4.5259,8.6953,-4.7812,-1.4141,4.0312,8.6953,0.0,0.0,0.0,0.0
2.5,832.353,5468490.0,-10.0,1.0,1.0,-10.0184,69.8,-3.411,-0.3538,4.4366,8.7812,-4.7969,-1.4609,3.9375,8.7812,0.0,0.0,0.0,0.0
2.6000000000000227,832.453,5468590.0,-10.0,1.0,1.0,-10.0486,69.7,-3.5789,-0.3538,4.4366,8.7578,-4.9766,-1.4609,3.9375,8.7578,0.0,0.0,0.0,0.0
2.7000000000000455,832.553,5468690.0,-10.0,1.0,1.0,-9.686,70.4,-3.6227,-0.2805,4.5705,8.7734,-5.0234,-1.3828,4.0781,8.7734,0.0,0.0,0.0,0.0
2.800000000000068,832.653,5468790.0,-10.0,1.0,1.0,-9.8975,70.0,-3.484,-0.3758,4.5557,8.8437,-4.875,-1.4844,4.0625,8.8437,0.0,0.0,0.0,0.0
2.900000000000091,832.753,5468890.0,-10.0,1.0,1.0,-10.0184,69.8,-3.4329,-0.2365,4.4441,8.9375,-4.8203,-1.3359,3.9453,8.9375,0.0,0.0,0.0,0.0
3.0,832.853,5468990.0,-10.0,1.0,1.0,-9.958,69.9,-3.4256,-0.2365,4.4887,8.9609,-4.8125,-1.3359,3.9922,8.9609,0.0,0.0,0.0,0.0
3.1000000000000227,832.953,5469090.0,-10.0,1.0,1.0,-10.0184,69.8,-3.4329,-0.2952,4.5482,8.9375,-4.8203,-1.3984,4.0547,8.9375,0.0,0.0,0.0,0.0
3.2000000000000455,833.053,5469190.0,-10.0,1.0,1.0,-9.958,69.9,-3.4329,-0.3098,4.5482,8.9922,-4.8203,-1.4141,4.0547,8.9922,0.0,0.0,0.0,0.0
3.300000000000068,833.153,5469290.0,-10.0,1.0,1.0,-10.109,69.6,-3.5205,-0.3685,4.4961,9.0547,-4.9141,-1.4766,4.0,9.0547,0.0,0.0,0.0,0.0
3.400000000000091,833.253,5469390.0,-10.0,1.0,1.0,-10.109,69.6,-3.4329,-0.3465,4.4961,8.9609,-4.8203,-1.4531,4.0,8.9609,0.0,0.0,0.0,0.0
3.5,833.353,5469490.0,-10.0,1.0,1.0,-10.1393,69.5,-3.484,-0.3098,4.4217,8.9844,-4.875,-1.4141,3.9219,8.9844,0.0,0.0,0.0,0.0
3.6000000000000227,833.453,5469590.0,-10.0,1.0,1.0,-9.9277,69.9,-3.4329,-0.2952,4.4961,8.9453,-4.8203,-1.3984,4.0,8.9453,0.0,0.0,0.0,0.0
3.7000000000000455,833.553,5469690.0,-10.0,1.0,1.0,-10.109,69.6,-3.411,-0.2732,4.4664,8.8203,-4.7969,-1.375,3.9687,8.8203,0.0,0.0,0.0,0.0
3.800000000000068,833.653,5469790.0,-10.0,1.0,1.0,-10.0788,69.6,-3.3964,-0.3172,4.511,8.8437,-4.7812,-1.4219,4.0156,8.8437,0.0,0.0,0.0,0.0
3.900000000000091,833.753,5469890.0,-10.0,1.0,1.0,-10.1393,69.5,-3.4475,-0.3465,4.5259,8.8359,-4.8359,-1.4531,4.0312,8.8359,0.0,0.0,0.0,0.0
