t_rec_s,t_s,ts,set,pid,armed,T_cal,power,T3,T7,T12,Tamb,T3_raw,T7_raw,T12_raw,Tamb_raw,f3,f7,f12,famb
0.0,4196.726,8832863.0,-10.0,1.0,1.0,-10.0486,67.5,-3.6519,-0.8304,4.5482,9.4062,-5.0547,-1.9688,4.0547,9.4062,0.0,0.0,0.0,0.0
0.1000000000003638,4196.826,8832963.0,-10.0,1.0,1.0,-9.9277,67.7,-3.6519,-0.889,4.4961,9.4531,-5.0547,-2.0312,4.0,9.4531,0.0,0.0,0.0,0.0
0.2000000000007276,4196.926,8833063.0,-10.0,1.0,1.0,-10.0184,67.5,-3.5789,-0.845,4.5557,9.4766,-4.9766,-1.9844,4.0625,9.4766,0.0,0.0,0.0,0.0
0.3000000000001819,4197.026,8833163.0,-10.0,1.0,1.0,-10.1393,67.3,-3.6958,-0.8304,4.5705,9.4062,-5.1016,-1.9688,4.0781,9.4062,0.0,0.0,0.0,0.0
0.4000000000005457,4197.126,8833263.0,-10.0,1.0,1.0,-9.8673,67.8,-3.6593,-0.8157,4.5482,9.4766,-5.0625,-1.9531,4.0547,9.4766,0.0,0.0,0.0,0.0
0.5,4197.226,8833363.0,-10.0,1.0,1.0,-10.109,67.3,-3.7323,-0.8304,4.5705,9.5703,-5.1406,-1.9688,4.0781,9.5703,0.0,0.0,0.0,0.0
0.6000000000003638,4197.326,8833463.0,-10.0,1.0,1.0,-10.109,67.3,-3.6958,-0.8524,4.4961,9.4922,-5.1016,-1.9922,4.0,9.4922,0.0,0.0,0.0,0.0
0.7000000000007276,4197.426,8833563.0,-10.0,1.0,1.0,-9.6558,68.3,-3.6593,-0.8084,4.5557,9.5391,-5.0625,-1.9453,4.0625,9.5391,0.0,0.0,0.0,0.0
0.8000000000001819,4197.526,8833663.0,-10.0,1.0,1.0,-10.0486,67.5,-3.6885,-0.8084,4.5482,9.5391,-5.0937,-1.9453,4.0547,9.5391,0.0,0.0,0.0,0.0
0.9000000000005457,4197.626,8833763.0,-10.0,1.0,1.0,-9.7464,68.1,-3.7542,-0.845,4.5482,9.5391,-5.1641,-1.9844,4.0547,9.5391,0.0,0.0,0.0,0.0
1.0,4197.726,8833863.0,-10.0,1.0,1.0,-10.1997,67.2,-3.6958,-0.845,4.4738,9.5547,-5.1016,-1.9844,3.9766,9.5547,0.0,0.0,0.0,0.0
1.1000000000003638,4197.826,8833963.0,-10.0,1.0,1.0,-9.6255,68.3,-3.725,-0.8084,4.5705,9.5156,-5.1328,-1.9453,4.0781,9.5156,0.0,0.0,0.0,0.0
1.2000000000007276,4197.926,8834063.0,-10.0,1.0,1.0,-10.0788,67.4,-3.7323,-0.867,4.5854,9.4687,-5.1406,-2.0078,4.0937,9.4687,0.0,0.0,0.0,0.0
1.300000000000182,4198.026,8834163.0,-10.0,1.0,1.0,-10.0184,67.5,-3.6885,-0.8524,4.511,9.4687,-5.0937,-1.9922,4.0156,9.4687,0.0,0.0,0.0,0.0
1.4000000000005457,4198.126,8834263.0,-10.0,1.0,1.0,-10.1997,67.2,-3.6593,-0.7937,4.6152,9.5078,-5.0625,-1.9297,4.125,9.5078,0.0,0.0,0.0,0.0
1.5,4198.226,8834363.0,-10.0,1.0,1.0,-10.0788,67.4,-3.6227,-0.9037,4.5259,9.625,-5.0234,-2.0469,4.0312,9.625,0.0,0.0,0.0,0.0
